athleteID,Name,imageURL,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026
96234,Austin Hurlburt,https://prorodeo.com/images/2023/4/3/Austin_Hurlburt_TD_2022_Minot.png,0,0,0,0,281.29,281.29,281.29,7782.72,21633.74,40034.45,47840.5,48098.32
101754,Austin Madison,https://prorodeo.com/images/2022/7/25/Austin_Madison_headshot_71.png,0,639.93,639.93,639.93,639.93,3257.85,4001.5,8667.32,13850.1,27145.38,36701.09,38693.23
99003,Bo Yaussi,,0,0,0,0,0,887.81,6578.96,13268.09,16184.44,19090.7,26534.38,26534.38
101145,Bodie Mattson,https://prorodeo.com/images/2022/7/20/2021_Minot_TR_Bodie_Mattson_AStangle_5081_71.png,2195.75,3280.41,3280.41,3280.41,3280.41,4403.86,22393.59,24236.13,31493.75,50874.53,67253.93,67854.36
102484,Braden Brost,,0,0,0,0,0,0,0,36559.41,36559.41,36559.41,36559.41,36559.41
96688,Brushton Minton,https://prorodeo.com/images/2024/1/30/Minton_Brushton_NFR_23_.png,0,0,11268.69,11777.2,20627.96,34033.8,60809.55,67216.48,69583.2,126262.14,138036.69,149228.17
93497,Caleb McMillan,https://prorodeo.com/images/2022/2/28/Caleb_McMillan_2020.png,2389.55,2389.55,2389.55,2389.55,2719.29,4655.86,4655.86,7109.72,11282.47,19599.21,22871.71,22871.71
53191,Casey Harmon,,661.29,2563.38,11775.34,11775.34,11775.34,13942.98,13942.98,13942.98,15897.24,15897.24,19322.6,19758.99
111586,Chance Grill,,5653.09,5653.09,5653.09,5653.09,8534.18,12462.26,12462.26,15570.34,17284.9,25798.48,28145.73,29177.04
100924,Chet Weitz,https://prorodeo.com/images/2023/4/3/Chet_Weitz_TD_2022_Waco.png,13614.75,13614.75,13614.75,13614.75,18980.06,19919.81,19919.81,19919.81,19919.81,32439.61,51424.82,56928.67
103709,Clay Clayman,https://prorodeo.com/images/2023/2/3/Clay_Clayman_2021.png,0,1994.92,1994.92,1994.92,1994.92,1994.92,4141.43,14408.81,21143.1,31536.98,46015.16,52416.73
104099,Clay Ellis,,0,1269.19,1269.19,1269.19,3117.7,4408.83,5671.59,7591.5,11119.7,23464.91,32254.06,34670.66
109967,Clayton Culligan,,3813.34,12561.41,12561.41,15103.95,16141.71,18735.85,19574.8,21991.77,23090.16,27768.76,27768.76,28393.86
20460,Clovis Crane,https://prorodeo.com/images/2021/2/25/Clovis_Crane_2019_Cutout_71.png,0,1891.31,1891.31,3110.69,3110.69,3110.69,3110.69,4540.33,9617.17,14959.56,19961.43,21298.95
98738,Cody Stewart,https://prorodeo.com/images/2022/7/25/Cody_Steward_headshot.png,0,0,0,0,0,1313.65,6001.9,13608.48,17249.1,23921.14,23921.14,23921.14
104267,Cole Eiguren,https://prorodeo.com/images/2024/4/17/24__EIGUREN_COLE_ADILWORTH.png,6813.63,6813.63,6813.63,10451.62,10451.62,10451.62,22423.57,31891.09,39454.37,63576.63,77143.43,78245.37
71968,Cole Robinson,,4469.01,4469.01,5591.68,6542.26,8567.02,8567.02,8567.02,8567.02,11591.85,16898,22160.08,22274.76
20112,Coleman Proctor,https://prorodeo.com/images/2024/1/30/Proctor_Coleman_NFR_23_.png,3950.91,3950.91,3950.91,6819.48,12953.24,15221.59,15453.79,31283.48,47849.71,66703.69,89584.41,89584.41
98408,Dalton Walker,https://prorodeo.com/images/2022/2/10/Dalton_Walker_2021.png,4157.89,4157.89,4157.89,4157.89,4157.89,4157.89,6914.02,22534.75,32784.4,36280.69,37801.53,37801.53
20919,Erich Rogers,https://prorodeo.com/images/2024/1/30/Rogers_Erich_NFR_23_.png,0,3181.44,3181.44,3181.44,9075.52,11660.06,11660.06,14116.83,46123.02,68766.53,77348.24,80864.31
106514,Everett Reeves,,0,0,0,0,0,2176.94,3071.74,3071.74,5370.22,10702.93,17226.83,17226.83
96407,Haven Meged,https://prorodeo.com/images/2024/2/8/Meged_Haven_NFR_23_.png,0,0,0,13054.13,40321.31,50325.81,50325.81,50847.35,70567.97,142177.87,201409.35,216140.71
20518,J.R. Myers,https://prorodeo.com/images/2021/8/12/J_R_Myer.png,0,473.86,473.86,9894.91,9894.91,9894.91,9894.91,11940.58,12922.88,15349.83,20168.5,20361.2
70677,Jace Melvin,https://prorodeo.com/images/2020/9/25/06_Jace_Melvin_SW_2019.png,618.41,4951.54,5882.95,6981.23,10198.99,15094.22,24563.05,28617.42,35280.49,47558.92,51826.53,57741.37
71554,Jade Gardner,,0,0,0,3354.08,4710.4,4710.4,4710.4,4710.4,4710.4,9971.07,21025.98,25688.32
95098,Jake Clay,https://prorodeo.com/images/2023/10/31/Clay_Jake_AL6I6086.png,1586.59,42712.84,42712.84,42712.84,56344.85,56832.31,57734.19,63302.12,63820.66,90012.14,92248.62,92248.62
53895,Juan Alcazar,https://prorodeo.com/images/2022/2/10/Juan_Alcazar_2021.png,4678.46,4678.46,4678.46,7399.61,11093.19,14004.33,14004.33,17841.41,21057.7,21057.7,21057.7,21731.76
104102,Judd Grover,https://prorodeo.com/images/2023/2/3/Judd_Grover_2021.png,0,0,0,0,1467.48,2159.55,3802.07,6756.45,13153.08,22146.29,32944.28,34520.62
20837,Justin Thigpen,https://prorodeo.com/images/2023/3/27/Justin_Thigpen_2022_SECF.png,0,0,0,2092.15,2092.15,2092.15,2092.15,5493.77,6847.37,16621.04,23175.65,23175.65
96379,Laramie Allen,https://prorodeo.com/images/2021/4/26/L_Allen_71.png,0,0,0,0,0,0,0,6593.64,17630.47,18930.11,25850.12,25850.12
