athleteID,Name,imageURL,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026
100345,Ben Kramer,https://prorodeo.com/images/2023/3/29/Ben_Kramer__BB_2022_Minot.png,4830.75,4830.75,4830.75,5473.71,9833.14,16622.48,16622.48,20890.08,30504.12,47420.58,53015.81,54463.41
103311,Bradlee Miller,https://prorodeo.com/images/2024/1/18/Bradley_Miller.png,20605.88,20605.88,26148.03,26329.55,39905.94,97938.89,105032.18,107300.31,119389.77,226114.2,252375.65,261241.4
107765,Bryce Eck,https://prorodeo.com/images/2026/9/8/Eck_Bryce_MBD_0049.png,139.45,139.45,139.45,5613.97,7403.1,10610.09,12126.49,16854.01,24433.1,45025.02,57893.05,57893.05
110137,Carson Hildre,https://prorodeo.com/images/2026/9/8/Hildre_Carson_MBD_1723.png,10624.34,11421.77,11421.77,20608.28,24858.76,27168.09,27168.09,38277.05,53482.05,81722.88,93785.11,98123.24
99922,Clay Jorgenson,https://prorodeo.com/images/2023/3/30/Clay_Jorgenson_BB_2022_Minot.png,7407.15,7407.15,7407.15,9764.67,12765.67,20904.68,20904.68,20904.68,31109.19,53937.88,65617.87,69107.62
91652,Clayton Biglow,https://prorodeo.com/images/2024/1/30/Biglow_Clayton_NFR_23_.png,666.7,666.7,9137.01,9137.01,15848.71,22633.71,46551.41,53587.82,68952.1,92070.69,116805.56,119309.96
99756,Cole Franks,https://prorodeo.com/images/2025/11/5/Franks_Cole.png,0,0,0,4438.39,4438.39,4438.39,4438.39,13028.64,32572.84,57621.73,70544.5,70544.5
97895,Cole Reiner,https://prorodeo.com/images/2024/2/5/Reiner_Cole_NFR_23_.png,0,0,1236.6,6223.99,30536.74,40037.62,59101.87,61232.96,74278.85,108119.36,123631.71,127145.3
105298,Colt Eck,https://prorodeo.com/images/2023/3/16/new_Colt_Eck_Prairie_C_2022.png,974.98,974.98,974.98,4741.96,6043.15,11303.67,11303.67,14749.16,16216.81,32040.24,39486.16,41941.65
101581,Colton Clemens,https://prorodeo.com/images/2022/4/3/Colton_Clemens_2021_71.png,8963.36,8963.36,8963.36,8963.36,11997.1,16996.91,21229.24,23988.82,32137.29,45788.66,59475.7,59475.7
103159,Cooper Cooke,https://prorodeo.com/images/2023/2/22/COOPER_COOKE_BB_2022_WCFR_ADILWORTH_2__71.png,0,10980.77,17358.78,22628.28,35448.28,39729.08,46482.34,50735.07,89581.25,133838.09,158232.78,159786.93
108100,Cooper Filipek,,3112.35,3112.35,3112.35,9974.4,19663.07,19663.07,19663.07,22921.69,41427.14,46902.56,48837.62,48837.62
106254,Darien Johnson,https://prorodeo.com/images/2023/11/15/IMG_4019.png,4543.14,5202.7,5202.7,5202.7,5790.6,10427.53,10427.53,13768.16,18701.68,26131.97,35343.91,35343.91
110442,Daxtyn Feild,https://prorodeo.com/images/2026/9/8/Fields_Daxtyn_MBD_1644.png,312.8,3997.87,6905.73,14911.21,16997.07,23822.69,25609.55,33747.28,40664.61,65739.77,66125.55,71143.51
103162,Dean Thompson,https://prorodeo.com/images/2024/2/5/Thompson_Dean_NFR_23_.png,7171.82,13535.37,15777.17,15777.17,24745.88,37000.64,37000.64,37000.64,37000.64,37000.64,52787.12,52787.12
101744,Donny Proffit,https://prorodeo.com/images/2023/3/30/Donny_Proffitt_BB_2021_MSCF_1.png,9195.45,10156.21,10156.21,14442.61,16218.61,17669.81,22912.89,24689.49,27514.7,45386.07,64589.41,68584.69
103609,Ethan Mazurenko,https://prorodeo.com/images/2024/4/1/24_Ethan_Mazurenko.png,0,0,0,0,10405.57,22771.55,29652.03,29652.03,36872.55,61778.28,71562.77,71562.77
96425,Garrett Shadbolt,https://prorodeo.com/images/2023/1/11/13_GARRETT_SHADBOLT_BB_2022_NFR.png,787.34,787.34,12338.51,23754.29,23760.47,23760.47,23760.47,23760.47,35437.46,61126.59,108419.09,112165.65
100526,Gauge McBride,https://prorodeo.com/images/2023/8/8/Gauge_McBride.png,0,866.38,866.38,11224.94,13065.4,21026.41,23361.11,29752.47,36281.25,52068.7,54959.87,55738.83
104284,Jacek Frost,https://prorodeo.com/images/2023/1/14/JACEK_FROST_x_BR_2022_CA_CIRCUIT_FINALS.png,0,1494.6,5469.03,5469.03,5469.03,5469.03,5469.03,5469.03,5469.03,39627.48,65474.72,65813.12
94401,Jacob Lees,https://prorodeo.com/images/2026/9/8/Lees_Jacob_MBD_1656_71.png,10390.51,10390.51,13133.95,26495.03,64534.47,78979.74,84203.38,98154.98,132854.31,187440.88,206283.88,215732.67
99304,Jayco Roper,https://prorodeo.com/images/2023/3/29/Jayco_Roper_2021_GLCF.png,3757.02,3757.02,3757.02,14965.58,15202.3,27518.82,30937.09,35849.21,53803.13,93280.78,131378.56,134555.93
96305,Jess Pope,https://prorodeo.com/images/2023/1/11/01_JESSE_POPE_BB_2022_NFR.png,0,0,0,636.29,12032.63,50009.03,50009.03,50009.03,75837.5,132397.51,173137.67,173137.67
102844,Kade Sonnier,https://prorodeo.com/images/2023/3/30/Kade_Sonnier_BB_SECF_2022_.png,5957.11,5957.11,5957.11,7832.13,24272.64,35829.97,43628.62,47502.32,72168.84,144608.87,177474.43,197406.97
108651,Kashton Ford,https://prorodeo.com/images/2024/4/2/24_Kashton_Ford.png,360.81,360.81,360.81,3059.14,8946.57,22003.15,30229.37,35520.41,58663.23,92344.32,105099.96,108736.43
