athleteID,Name,imageURL,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026
70195,Allen Boore,https://prorodeo.com/images/2020/9/25/04_Allen_Boore_SB_2019.png,3589.89,8394.05,8394.05,8394.05,13167.27,30818.62,33864.25,35376.35,44397.67,84444.33,90239.53,93176.12
107673,Bailey Small,https://prorodeo.com/images/2025/2/24/Bailey_Small.png,0,0,0,0,0,0,2876.4,8632.39,17034.86,22047.45,32880.4,37397.28
98209,Ben Andersen,https://prorodeo.com/images/2024/2/8/Anderson_Ben_.png,0,0,5593.91,13908.79,30005.25,44618.12,52868.14,59297.85,70706.89,92525.47,122223.14,132141.19
108797,Blake Steuck,,1813.7,10499.5,10499.5,12182.4,13519.4,15972.29,23011.09,26113.79,29693.86,32926.76,37164,41509.84
75823,Brody Cress,https://prorodeo.com/images/2024/1/30/Cress_Brody_NFR_23_.png,1237.8,1237.8,4153.61,4153.61,13011.78,22170.17,30150.9,35862.19,41350.44,78717.58,117111.51,121011.94
100788,Brody Wells,https://prorodeo.com/images/2024/11/20/24_Brody_Wells.png,28092.37,28092.37,32056.79,36249.66,42982.87,43050.04,44036.56,49818.97,71240.16,137050.97,184058.27,190303.63
101298,Cash Wilson,https://prorodeo.com/images/2022/1/14/cash_wilson_bio_71.png,3485.17,3485.17,4118.53,10812.7,15406.97,23550.11,24792.98,25111.88,32508.51,67288.5,83777.14,83777.14
71716,Chase Brooks,https://prorodeo.com/images/2024/2/5/Brooks_Chase_NFR_23_.png,38697.88,38697.88,38697.88,42141.32,51363.58,55467.84,69394.76,88952.8,109752.49,129419.53,189910.07,192173.99
108136,Coleman Shallbetter,,2492.15,2492.15,11891.98,17525.69,17525.69,22576.21,26807.69,31593.85,42471.38,75720.69,89557.5,99104.4
100186,Cooper Thatcher,,6455.46,6455.46,6455.46,7332.65,8108.86,10289.15,10289.15,18834.18,28184.68,37607.71,48645.8,49281.2
99704,Damian Brennan,https://prorodeo.com/images/2024/1/30/Brennan_Damian_NFR_23_.png,3390.5,3390.5,3390.5,3390.5,27487.95,50354.51,64333.7,93111.89,99594.44,137281.5,137871.27,137871.27
105114,Darcy Radel,https://prorodeo.com/images/2026/9/8/Radel_Darcy_MBD_0143.png,1490.57,1490.57,1490.57,1490.57,28434.48,29639.72,30875.97,35945.08,39510.41,64832.72,88532.46,90532.94
