athleteID,Name,imageURL,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026
76879,Billy Good,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/2/10/_Billy_Good_2020_71.png,0,21065.37,21065.37,22732.65,22732.65,22732.65,22732.65,24949.17,34592.87,34951.66,37795.48,37795.48
56663,Blake Deckard,https://d1kfpvgfupbmyo.cloudfront.net/images/2021/8/11/Blake_deckard.png,1751.94,7891.04,7891.04,7891.04,7891.04,8381.93,9954.6,13042.77,14079.79,14079.79,15754.88,15754.88
17493,Brian Garr,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/2/10/Brian_Garr_2021.png,0,1715.47,1715.47,2289.68,2289.68,2693.15,2693.15,4944.25,8608.8,9094.37,11150.4,11150.4
20125,Chad Mathis,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/3/21/Chad_Mathis_SR_2020_NCFSR.png,0,0,0,0,0,686.48,2263.45,6549.66,12088.44,12458.3,12458.3,12458.3
17793,Chet Herren,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/3/21/Chet_Herren_1_SR_2022_NFSR_.png,0,38089.61,38089.61,41718.89,41718.89,41718.89,44878.46,45749.65,45749.65,49027.31,54557.77,54557.77
20150,Clay Long,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/1/24/Clay_Long_2022_NFSR_.png,171.42,23679.91,23679.91,24059.24,24059.24,24063.57,24063.57,26172.63,27521.88,32217.83,39142.52,39142.52
72966,Clint Buringa,,0,982.95,982.95,982.95,982.95,982.95,982.95,2671.56,2817.94,8389.44,14819.63,14819.63
16503,Cody Lee,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/2/10/Cody_Lee_2021.png,6783.07,26817.53,26817.53,30534,30534,30534,37770.92,42689.21,53299.87,62019.11,67277.66,67277.66
97040,Cole Patterson,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/1/24/Cole_Patterson_2022_NFSR.png,4048.08,32459.27,32459.27,36327.77,36327.77,36624.72,38471.79,52001.8,66943.89,81159.49,90674.99,90674.99
20112,Coleman Proctor,https://d1kfpvgfupbmyo.cloudfront.net/images/2024/1/30/Proctor_Coleman_NFR_23_.png,0,0,0,2886.81,2886.81,3173.4,3173.4,4287.61,4287.61,8539.63,14464.44,14464.44
98031,Connor McNeil,,632.77,632.77,632.77,6222.41,6222.41,7367.11,7367.11,9486.88,12240.77,14016.19,14580.18,16537.98
17618,Corey Ross,https://d1kfpvgfupbmyo.cloudfront.net/images/2020/9/25/SR_Corey_Ross_2018.png,0,5132.38,5132.38,5132.38,5132.38,5132.38,5965.41,8902.82,8902.82,8902.82,8902.82,8902.82
98408,Dalton Walker,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/2/10/Dalton_Walker_2021.png,4654.27,4654.27,4654.27,4654.27,5138.19,5138.19,8576.2,22975.3,33597.57,36400.73,38603.45,38603.45
10659,Don Ed Eddleman,,0,5974.72,5974.72,5974.72,5974.72,5974.72,6169.63,14034.41,14034.41,14034.41,14034.41,14034.41
110739,Dustin Bassett,,0,0,0,539.72,539.72,539.72,1556.26,5595.88,11855.67,14981.92,15288.24,15676.02
108144,Frank Pohlmann,,0,0,0,0,0,0,772.05,5103.37,8160.24,10649.75,15189.2,15189.2
19597,J. Tom Fisher,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/2/2/J_Tom_Fisher_2022_NFSR_champion.png,573.39,573.39,573.39,6660.87,6660.87,15934.27,19724.34,25823.94,33141.57,49709.33,54956.18,57084.22
95098,Jake Clay,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/10/31/Clay_Jake_AL6I6086.png,0,29821.84,29821.84,29821.84,29821.84,29821.84,29821.84,29821.84,29821.84,29821.84,29821.84,29821.84
102405,Jarett Holliday,,1310.75,1310.75,1310.75,1310.75,1310.75,2455.45,3016.94,5158.25,7694.04,7694.04,11624.35,11624.35
57678,Jason Burson,,3259.64,3259.64,3259.64,3259.64,3259.64,5593.34,9278.13,15104.55,17638.9,27835.1,33892.79,33892.79
18707,Jess Tierney,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/2/10/Jess_Tierney_2021.png,0,15153.14,15153.14,15153.14,15153.14,15153.14,15153.14,15153.14,15153.14,15153.14,15153.14,15153.14
20585,John Clark,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/3/6/John_Clark_2022_SR.png,1939.73,4949.3,4949.3,4949.3,5744.26,5744.26,5744.26,7556.48,9009.51,13239.51,13239.51,13239.51
92794,Kelton McMillen,https://d1kfpvgfupbmyo.cloudfront.net/images/2025/8/26/Kelton_McMillen_71.png,0,13867.07,13867.07,24614.22,24614.22,25557.87,25915.39,29633.6,39562.62,48532.38,58615.28,58615.28
110319,Keo Wever,,0,0,0,0,14.26,1520.35,1520.35,6240.52,7840.19,8455,8680.52,8680.52
52552,Kyle Cauthorn,,406.78,406.78,406.78,5334.64,5334.64,7606.93,7957.86,10712.68,11119.23,11119.23,11119.23,11119.23
96379,Laramie Allen,https://d1kfpvgfupbmyo.cloudfront.net/images/2021/4/26/L_Allen_71.png,0,0,0,0,0,0,0,7269,16057.52,18072.56,26963.25,26963.25
14439,Mike Chase,https://d1kfpvgfupbmyo.cloudfront.net/images/2021/6/13/mike_chase_sr_71.png,2015.9,2015.9,2015.9,3059.44,3059.44,4117.88,4117.88,9027.45,15862.47,18627.15,19948.58,19948.58
11212,Ora Taton,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/1/25/Ora_Taton_2022_NFSR_.png,0,0,0,6660.65,6660.65,6660.65,6660.65,10149.32,10149.32,11826.93,17034.64,17034.64
73150,Quay Howard,,0,0,0,5326.66,5326.66,5326.66,5326.66,8799.4,9335.92,9335.92,9335.92,9335.92
21740,Reo Lohse,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/1/24/2022_Torrington_WY_NCFSR_Headshots_Reo_Lohse_CGuardipee_1_71.png,0,0,0,0,0,0,10184.35,10184.35,14139.56,15811.92,15811.92,15811.92
109092,Riley O'Rourke,https://d1kfpvgfupbmyo.cloudfront.net/images/2025/8/26/Riley_O_Rourke.png,0,44550.84,44550.84,46677.07,46677.07,46677.07,48074.59,56064.42,59394.84,65655.33,79385.21,79385.21
21771,Roger Nonella,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/3/23/Roger_Nonella.png,6277.4,6277.4,6277.4,10059.75,10059.75,10059.75,14965.45,19070.9,25091.52,40880.08,48502.07,49373.16
18142,Ryan Rochlitz,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/3/23/Ryan_Rochlitz_71.png,0,0,0,0,0,0,0,0,498.39,498.39,9047.91,9047.91
60237,Ryan Willberg,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/3/29/Ryan_Willberg_2022.png,8606.05,8606.05,8606.05,8606.05,8606.05,10621.24,10621.24,18679.14,26205.75,26205.75,28349.81,30853.38
14725,Scott Snedecor,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/2/10/Scott_Snedecor_2021.png,0,48094.03,48094.03,48094.03,48094.03,48094.03,48094.03,53600.81,58391.09,66079.92,66079.92,66079.92
52724,Seth Schafer,,6698.16,6698.16,6698.16,9935.93,9935.93,9935.93,11882.24,17316.92,18416.51,19054.77,21286.74,21763.42
100966,Slade Wood,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/1/25/Slade_Wood__10_11_22_Waco_TX_TCF_Phifer_AP_341.png,1468.53,22656.84,22656.84,22656.84,22656.84,22656.84,22656.84,22656.84,22656.84,34095.87,34095.87,34095.87
72922,Tanner Stec,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/1/24/Tanner_Stec_2021_Minot_TDR_.png,2855.87,2855.87,2855.87,2855.87,3251.79,4295.55,8379.17,12015.3,17280.86,18307.09,28254.15,28254.15
73153,Tator Taton,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/3/27/Tyrel_Tator_Taton_Sr_2023_MTCF.png,0,0,0,3828.39,3828.39,4951.73,7785.87,10029.69,13629.73,25853.22,30652.34,30652.34
73181,Taylor Santos,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/2/4/Taylor_Santos_2021_NFR_TD.png,1942.01,1942.01,1942.01,2930.67,2930.67,10994.15,12226.58,32318.32,46822.12,73955.09,84617.21,86753.35
71200,Thomas Smith,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/2/10/Thomas_Smith_2021.png,0,37819.78,37819.78,37819.78,37819.78,37819.78,37819.78,38842.01,39174.15,41984.55,43243.24,43243.24
12752,Tony Reina,https://d1kfpvgfupbmyo.cloudfront.net/images/2020/9/25/SR_Tony_Reina_2019_NFSR.png,0,0,0,6802.61,6802.61,9031.07,9031.07,18536.23,23060.88,38025.87,42083.68,42083.68
100754,Trent Sorey,,1862.66,1862.66,1862.66,1862.66,1862.66,1862.66,1862.66,3470.05,9646.88,9646.88,9775.79,9775.79
15713,Troy Tillard,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/3/23/Troy_Tillard_SR.png,2924.95,2924.95,2924.95,10231.56,10231.56,17020.32,20530.53,26033.13,29170.91,40187.16,49072.87,49072.87
102801,Ty Williams,,0,0,0,8013.31,8013.31,8013.31,8013.31,10725.79,14779.59,18770.06,18770.06,18770.06
53220,Tyler Waters,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/2/1/Tyler_Waters_2020.png,206.14,20821.08,20821.08,20821.08,20821.08,20821.08,20821.08,22336.69,22336.69,25676.97,28960.13,28960.13
17774,Vin Fisher,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/2/10/vin_Fisher_2021.png,814.47,26445.5,26445.5,26806.14,26806.14,26806.14,26964.46,26964.46,39278.81,43965.33,48758.16,48758.16
21008,Wade Shoemaker,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/3/6/Wade_Showmaker_2016_SR_.png,0,0,0,0,0,496.89,607.75,1505.71,4540.64,7622,9251.01,9251.01
103354,Will Eddleman,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/6/1/WE.png,0,0,0,3317.76,3317.76,3317.76,3317.76,12018.21,12695.79,22232.49,25913.57,25913.57
18745,Zac Parrington,,0,0,0,3184.63,3184.63,3184.63,4355.37,7834.87,8842.36,8842.36,10031.15,10485.4
