athleteID,Name,imageURL,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
94333,Bridger Anderson,https://prorodeo.com/images/2024/1/30/Anderson_Bridger_NFR_23_.png,2678.59,2678.59,2678.59,5981.87,36377.84,48817.37,48817.37,53669.05,63316.28,87471.69,105172.16,107867.08
103716,Cash Robb,https://prorodeo.com/images/2023/1/24/Cash_Robb_2022.png,0,0,0,0,7745.83,28352.88,40798.07,54833.3,63449.36,109966.25,140781.21,147880.25
57873,Chance Howard,https://prorodeo.com/images/2021/8/12/Howard_Chance.png,0,0,0,0,6072.25,22572.85,22572.85,25007.49,34009.53,52499.88,77016.3,78447.92
52933,Chase Crane,,5447.84,5667.17,5667.17,8175.84,12287.24,21537.24,37906.82,43631.02,45275.04,45775.04,47280.15,47280.15
109160,Clay Guthrie,,0,0,0,0,0,0,0,0,0,40154.56,40154.56,40154.56
110167,Clay Hurt,,3012.43,3012.43,4585.32,4718.59,18731.51,21496.23,26952.52,27551.04,27551.04,41209.46,59549.29,59687.21
72979,Cody Devers,https://prorodeo.com/images/2024/2/8/Devers_Cody_NFR_23_.png,0,0,0,4852.76,10329.73,13136.1,26668.11,35443.89,46569.26,69421.68,89852.86,89852.86
108499,Colin Fox,,3944.57,3944.57,4178.58,8402.9,17907.81,28200.06,33416,48404.29,53111.59,70943.4,79294.53,79294.53
71368,Dalton Massey,https://prorodeo.com/images/2024/1/30/Massey_Dalton_NFR_23_.png,0,0,0,0,4224.78,27089.8,35241.88,42052.27,71050.57,89830.72,106478.38,106478.38
103049,Darcy Kersh,,1251.81,3069.51,3069.51,3069.51,3069.51,3069.51,9353.57,16315.67,23761.53,35698.26,37474.82,37474.82
72677,Don Payne,https://prorodeo.com/images/2024/2/5/Payne_Don_NFR_23_.png,0,0,0,0,5220.86,31591.71,33002.05,34822.07,41815.52,57295.03,61837.13,61837.13
70915,Eli Lord,https://prorodeo.com/images/2023/3/27/Eli_Lord_SW_2022_Minot_.png,0,0,0,3164.18,7746.95,24697.91,35195.46,37694.64,48960.16,69139.23,95891.6,95891.6
102442,Emmett Edler,,729.75,729.75,729.75,5146.62,5838.46,6094.61,7139.42,15220.62,22393.31,29911.91,49002.26,52128.69
98745,Garrett Oates,,3159.78,3159.78,3159.78,4404.71,19679.96,25626.25,25626.25,32606.85,40730.74,50980.05,71564.37,71564.37
97993,Gavin Soileau,https://prorodeo.com/images/2023/3/10/Gavin_Soileau_NFROpen_2022_SW_.png,3065.49,3065.49,3065.49,5124.34,13577.38,28689.01,32016.13,38698.51,49982.2,85225.46,97492.49,98380.17
99280,Grant Peterson,https://prorodeo.com/images/2024/4/2/24_Grant_Peterson.png,0,0,2654.44,2654.44,5202.28,16788.22,18389.31,24669.86,31729.81,42040.76,49036.19,54939.48
104708,Holden Myers,https://prorodeo.com/images/2026/3/31/Myers_Holden_png.png,1448.42,2873.34,2873.34,2873.34,10396.75,81114.67,81114.67,83885.35,88039.09,104574.74,113234.78,113234.78
75664,J.D. Struxness,https://prorodeo.com/images/2023/4/1/07_J_D__STRUXNESS_SW_2022NFR_.png,1453.92,1453.92,1453.92,1453.92,26106.92,32837.8,40261.87,44393.82,44736.62,82650.27,126197.77,131179.41
110394,Jace Mayfield,,1955.19,2302.99,2302.99,5302.99,5302.99,10438.69,16974.02,16974.02,22221.25,26090.29,38475.99,45127.54
70677,Jace Melvin,https://prorodeo.com/images/2020/9/25/06_Jace_Melvin_SW_2019.png,0,3002.29,3960.23,5085.03,8329.31,13251.07,22376.82,24617.67,31307.26,43612.21,47906.35,53847.71
93144,Jesse Brown,https://prorodeo.com/images/2023/4/1/05_Jesse_Brown_SW_2022_NFR_.png,8766.48,8766.48,8766.48,8766.48,14339.91,29077.78,49119.22,49119.22,58174.79,131389.46,163273.89,169417.81
71337,Justin Shaffer,https://prorodeo.com/images/2021/8/12/Justin_Shaffer.png,2161.25,2161.25,2161.25,9842.65,33468.15,34163.57,34163.57,34163.57,44217.27,60381.9,95357.97,95465.9
99240,Kaden Greenfield,,7067.04,7067.04,7067.04,12004.51,15828.95,15828.95,17051.75,25526.24,39278.02,43873.24,44122.32,53695.11
97976,Landon Beardsworth,,0,0,0,10468.54,16248.25,31296.26,31296.26,31296.26,31296.26,38341.59,46007.87,46007.87
101122,Landris White,https://prorodeo.com/images/2022/8/23/Landris_White_headshot.png,0,0,0,8889.11,15506.24,20854.56,21590.29,22849.85,38169.42,40690.68,50005.7,53837.81
59546,Levi Rudd,https://prorodeo.com/images/2023/1/24/Levi_Rudd_2023_CCF.png,3424.47,3424.47,4422.5,9832.26,14562.44,17922.36,18994.59,22782.49,27987.46,36399.25,36399.25,36896.79
98734,Logan Kenline,,3913.66,3913.66,3913.66,4771.36,8960.51,8960.51,12253.55,12253.55,15719.97,28071.93,35588.39,36724.79
96537,Marc Joiner,https://prorodeo.com/images/2021/4/21/Marc_Joiner.png,3788.02,3788.02,3788.02,4550.42,8653.09,19421.6,19421.6,20039.54,37151.38,51005.03,59587.67,59587.67
99875,Mason Couch,,982.3,982.3,982.3,7211.08,13517.02,15696.82,15696.82,15696.82,28698.11,45310.17,57734.39,57734.39
73004,Mike McGinn,https://prorodeo.com/images/2023/7/19/Mike_McGinn_Headshot_71.png,879.52,879.52,879.52,16209.54,16209.54,53512.31,63943.8,63943.8,75800.23,91504.26,112835.53,112835.53
21092,Nick Guy,https://prorodeo.com/images/2023/4/1/12_NICK_GUY_SW_2022_NFR_05_71.png,0,0,0,0,250,15394.52,15394.52,17248.2,20915.61,35997.35,42272.48,43271.23
59098,Riley Duvall,https://prorodeo.com/images/2022/1/26/Riley_Duvall_2021_NFR__71.png,0,0,0,626.88,5527.97,13013.3,22453.39,22453.39,24684.86,101565.81,125366.65,127821.01
98222,Riley Reiss,https://prorodeo.com/images/2021/11/2/riley_reiss_bio_2021.png,0,0,0,5033.8,12132.21,16543.62,26716.39,32058.54,42091.03,65487.98,73380.82,76858.1
98030,Riley Westhaver,,0,0,0,2949.83,15570.54,15570.54,15570.54,15570.54,19991.59,30611.96,37861.03,37861.03
71667,Rowdy Parrott,https://prorodeo.com/images/2023/4/1/13_ROWDY_PARROTT_SW_2022_NFR.png,8624.91,8624.91,8624.91,8624.91,23734.76,33743.55,33743.55,33743.55,41428.95,64195.73,115724.11,118516.11
97950,Ryan Shuckburgh,https://prorodeo.com/images/2022/9/20/Ryan_Shuckburgh_headshot.png,0,0,0,5192.1,16026.9,31800.92,36525.29,40373.18,40373.18,52452.98,55656.98,59124.18
72484,Scott Guenthner,https://prorodeo.com/images/2021/4/12/Scott_Guenthner_RNCFR_2021.png,0,0,0,0,0,19807.47,19807.47,19807.47,19807.47,47418.06,76663.77,100998.95
102086,Seth Peterson,https://prorodeo.com/images/2024/4/17/2023_Mountain_States_Circuit_Finals_Seth_Peterson_Tanya_Hamner_338382_PFP_6684.png,4189.23,6590.19,6590.19,10348.03,15235.77,26407.72,33243.02,43864.17,59480.62,88224.67,111612.9,111612.9
71758,Stetson Jorgensen,https://prorodeo.com/images/2023/4/1/06_STETSON_JORGENSON_SW_2022_NFR_.png,0,6217.88,6217.88,6217.88,24681.35,52088.15,52088.15,52088.15,52088.15,52088.15,52088.15,52088.15
75914,Talon Roseland,https://prorodeo.com/images/2021/6/12/Talon_Roseland.png,2.27,2.27,2.27,4247.94,5458.59,18784.6,22395.13,26434.95,36270.08,55873.88,59525.87,59525.87
108096,Traver Johnson,,2258.44,2258.44,2258.44,4428.7,10159.86,11056.51,12760.23,19828.18,34352.22,68105.44,90297.18,94207.25
101458,Travis Munro,https://prorodeo.com/images/2024/4/17/24_Travis_Muro_71.png,0,0,0,3168.92,9788.35,13378.43,21002.1,21872.71,31564.9,55181.7,67019.42,71815.05
76561,Tristan Martin,https://prorodeo.com/images/2023/4/1/10_TRISTAN__MARTIN_SW_2022_NFR_.png,0,0,0,7340.41,11778.63,29379.41,32412.96,39789.23,62336.63,97920.14,120725.14,125075.34
102805,Trisyn Kalawaia,https://prorodeo.com/images/2023/2/22/Trisyn_Kalawaia_2022_permit_chall.png,0,0,0,240.75,21825.91,28135.06,36962.37,42945.52,51190.88,100424.13,111036.49,113109.24
96103,Tucker Allen,https://prorodeo.com/images/2022/1/7/tucker_allen_71.png,691.26,721.69,721.69,721.69,7053.65,13325.67,15101.22,28235.88,41848.28,51598.91,51598.91,51598.91
59183,Ty Erickson,https://prorodeo.com/images/2024/2/5/Erickson_Ty__NFR_23_.png,0,0,0,10532.35,23384.1,31656.37,37405.87,37405.87,49888.43,111970.37,126646.08,145429.25
60154,Tyke Kipp,https://prorodeo.com/images/2026/1/30/Tyke_Kipp.png,0,7389.6,7389.6,26172.86,35635.15,50029.59,58539.38,63432.84,79322.41,89390.05,95425.77,95425.77
59891,Tyler Waguespack,https://prorodeo.com/images/2024/1/30/Waguespack_Tyler_NFR_23_.png,2621.35,7771.15,7771.15,17781.49,44905.07,68871.63,85471.59,93836.96,115963.53,151056.81,188163.08,188163.08
