athleteID,Name,imageURL,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
100984,Beau Cooper,https://prorodeo.com/images/2024/2/5/Cooper_Beau_NFR_23_.png,0,0,0,0,16374.68,16374.68,29505.94,29505.94,47901.99,78306.67,100175.07,115470.17
70594,Blane Cox,https://prorodeo.com/images/2024/1/30/Cox_Blane_NFR_23_.png,15590.84,15590.84,15590.84,24528.42,30793.31,31133.2,31522.72,36517.74,48689.16,68540.13,74063.19,74063.19
93661,Bo Pickett,https://prorodeo.com/images/2021/7/25/bo_Pickett.png,3229.81,6144.71,6144.71,6144.71,29330.42,34977.12,41217.21,41217.21,55282.27,82608,90184.51,92931.2
98923,Britt Bedke,https://prorodeo.com/images/2023/1/25/Britt_Bedke_2022_WCFR.png,0,2989.94,2989.94,2989.94,7771.96,18688.69,27922.08,34180.85,36387.68,58216.95,71316.26,75453.95
110431,Brodey Clemons,,7138.46,7138.46,7138.46,13860.55,20722.35,25072.69,29184.99,29184.99,45775.12,76429.89,80150.06,81613.24
96688,Brushton Minton,https://prorodeo.com/images/2024/1/30/Minton_Brushton_NFR_23_.png,0,0,8041.42,9480.39,19261.6,33597.9,55573.41,57406.86,60091,117700.39,129891.93,142013.87
105666,Bryce Derrer,https://prorodeo.com/images/2024/5/10/Bryce_Derrer_headhsot.png,15687.98,15771.47,15771.47,22269.07,31354.75,31866.73,31866.73,38198.75,60060.49,87924.61,127279.26,127327.04
107560,Buck Calhoun,,2792.6,2792.6,2792.6,2792.6,5512.65,19714.68,26526,34228.41,50385.64,89084.89,109102,110167.65
99412,Cash Enderli,https://prorodeo.com/images/2023/3/10/Cash_Endrolli_MSCF_2022.png,6313.26,6313.26,6313.26,6313.26,10889.26,17904.8,28201.13,28201.13,28201.13,40626.49,44554.72,44554.72
102682,Cash Hooper,,1755.45,6149.13,6149.13,6149.13,6149.13,14304.29,26337.19,29604.21,34906.33,46372.29,82671.35,86733.29
102640,Chase Webster,,0,5596.09,5596.09,7402.16,10898.96,11128.41,21252.33,28034.41,40321.38,61580.3,82917.8,82917.8
100924,Chet Weitz,https://prorodeo.com/images/2023/4/3/Chet_Weitz_TD_2022_Waco.png,14346,14346,14346,14346,21501,24230.45,24230.45,24230.45,25593.85,38876.86,58099.59,65393.13
104597,Cole Clemons,https://prorodeo.com/images/2024/3/6/2024_Cole_Clemons.png,0,0,0,683.69,17767.69,24401.48,34386.17,47104.15,58314.32,72126.8,91961.65,106187.78
110333,Colton Suther,,263.01,263.01,1697.16,12030.01,13984.8,13984.8,29155.25,34155.71,39145.38,39369.28,64211.45,64211.45
53598,Cory Solomon,https://prorodeo.com/images/2024/1/30/Solomon_Cory_NFR_23_.png,0,0,0,0,8078.3,14634.8,22537.16,26856.19,35810.14,69965.96,95806.08,99645.98
105565,Cutter Carpenter,,4311.64,4311.64,5774.5,5774.5,10610.76,12672.45,12672.45,14676.48,14676.48,26570.17,34365.54,41352.43
103611,Dylan Hancock,https://prorodeo.com/images/2023/5/2/3finaledited_dylan_hancock.png,6010.95,6010.95,6010.95,22086.56,26158.84,47184.08,55630.29,58124.39,58617.72,81829.38,106340.33,109423.08
96407,Haven Meged,https://prorodeo.com/images/2024/2/8/Meged_Haven_NFR_23_.png,0,0,0,13916.14,42045.33,52911.84,52911.84,54295.39,74878.01,147349.92,205247.1,219780.15
19826,Hunter Herrin,https://prorodeo.com/images/2023/4/3/04_HUNTER_HERRIN_TD_2022_NFR.png,0,0,0,3546.53,7640.39,13035.02,27262.22,31033.52,35921.24,77208.58,99778.88,101010.24
52003,Jake Pratt,https://prorodeo.com/images/2023/4/3/Jake_Pratt_2022_CRCF.png,2512.78,2512.78,2512.78,2512.78,10916.75,12143.23,12143.23,12143.23,35395.36,46222.18,52304.51,52304.51
104856,Joel Harris,https://prorodeo.com/images/2023/4/3/Joel_Braden_Harris_TD_2022_WAco.png,12014.73,12014.73,12014.73,12014.73,24657.2,30204.06,46075.55,59476.47,79152.27,155226.86,183073.71,186409.68
94841,John Douch,https://prorodeo.com/images/2023/4/3/05_JOHN_DOUCH_TD_2022_TD_.png,1757.01,1757.01,1757.01,1757.01,31214.58,36974.73,38544.7,49428.36,61356.03,121360.88,140116.45,144186.02
99795,Kincade Henry,https://prorodeo.com/images/2023/4/3/09_KINCADE_HENRY_TD_2022_NFE_4.png,10769.56,10769.56,10769.56,17370.14,59690.55,98825.08,103045.35,112561.23,136991.22,164613.21,183177.89,191406.67
95496,King Pickett,https://prorodeo.com/images/2022/3/22/King_Pickett_2022.png,0,0,0,0,3817.94,8306.17,25184.67,25184.67,25184.67,42610.76,49531,52881.68
109845,Kyan Wilhite,https://prorodeo.com/images/2026/6/26/Wilhite_Kyan_26.png,9842.9,9842.9,9842.9,15852.97,17568.73,21716.71,41316.71,43349.42,57933.42,95268.95,119212.85,124285.13
72076,Kyle Lucas,https://prorodeo.com/images/2023/4/3/Kyle_Lucas_2021_RNCFR.png,6064.05,6064.05,6064.05,6064.05,13097.6,16254.15,24160.7,31029.39,38536.34,49942.89,49942.89,49942.89
73205,Logan Bird,https://prorodeo.com/images/2023/4/3/Logan_Bird_TD_2019_CCFR.png,6176.37,12643.85,12643.85,12643.85,22961.6,33129.66,42386.17,42386.17,50764.88,68657.66,77579,77579
98107,Luke Potter,https://prorodeo.com/images/2021/8/5/Luke_Potter.png,6364.55,6364.55,7842.4,11757.06,18731.11,18731.11,23511.06,27318.58,34629.72,57980.93,69103.26,70979.88
96535,Macon Murphy,https://prorodeo.com/images/2023/4/3/15_MACON_MURPHY_TD_2022_NFR_.png,1102.28,9636.21,9636.21,12433.68,21100.54,28999.56,28999.56,44308.68,53888.64,87904.76,101700.74,101700.74
73011,Marcos Costa,https://prorodeo.com/images/2023/4/3/Marcos_Costa_TD_2021_NFR.png,1327.64,1327.64,1327.64,1327.64,4204.58,7128.69,8806.35,24159.41,35619.69,58735.27,67443.57,67443.57
71563,Marty Yates,https://prorodeo.com/images/2023/4/3/07_MARTY_YATES_TD_2022_NFR__71.png,10786.26,10786.26,10786.26,10786.26,29813.26,39703.76,39703.76,39703.76,39703.76,39703.76,51178.42,51178.42
101274,Max Mathis,,1803.06,1935.1,1935.1,1935.1,1963.78,1963.78,2040.23,6894.39,25004.46,39946.91,58483.82,63330.9
18801,Michael Otero,https://prorodeo.com/images/2023/4/3/Michael_Otero_TD_2022_.png,0,0,0,0,8475.89,17442.84,17442.84,17442.84,25901.46,31690.3,55509.96,57506.12
99672,Myles Kenzy,,2595.2,2595.2,4057.63,5447.85,5447.85,7086.77,7086.77,9387.74,10739.69,35492.27,45408.51,46792.07
107809,Pecos Tatum,,0,8431.45,8431.45,9427.47,12724.34,23632.08,24061.28,30507.05,35942.65,47697.8,50891.4,50891.4
99321,Quade Hiatt,https://prorodeo.com/images/2021/8/12/Quade_Hiatt_TD.png,0,0,0,8693.75,11178.66,26439.39,32157.95,37733.95,47980.14,71356.49,124707.71,133108.68
57912,Riley Pruitt,https://prorodeo.com/images/2023/4/3/Riley_Pruitt_TD_2019_.png,6131.93,7674.27,7674.27,7674.27,12448.7,19213.12,19213.12,21190.84,32239.14,59260.69,90115.8,96543.16
102680,Riley Webb,https://prorodeo.com/images/2025/2/24/Riley_Webb.png,10128.74,10128.74,10128.74,31986.28,54147.79,130681.2,141306.2,154030.46,173940.44,220034.58,287268.36,295055.88
96479,Roy Lee,https://prorodeo.com/images/2023/4/3/Roy_Lee_2022_copy_71.png,0,0,0,452.02,5760,6835.42,6835.42,13710.55,19354,38057.05,39998.43,44458.72
113541,Sam Lewis,,0,0,0,1035.4,2481.49,2481.49,21461.78,22450.22,22624.25,24476.34,41809.48,55406.39
106167,Semaj Collins,,0,0,2377.37,10458.24,10458.24,16884.82,17921.35,27686.35,31080.53,45243.36,59343.43,59343.43
97915,Shad Mayfield,https://prorodeo.com/images/2023/4/3/02_SHAD_MAYFIELD_01_TD_2022_NFR_71.png,3648.14,3648.14,3648.14,3648.14,3648.14,3648.14,3648.14,3648.14,11921.75,67125.58,100791.81,107795.5
52690,Shane Hanchey,https://prorodeo.com/images/2023/4/3/14_SHANE_HANCHEY_TD_2022_.png,3995.34,3995.34,3995.34,7276.13,17475.99,62037.74,62037.74,62037.74,83428.31,130740.02,166115.39,170670.73
105397,Stran Dunham,,0,0,0,0,7036.2,11111,15394.34,22000.49,27563.25,52913.79,52913.79,52913.79
101318,Tom Crouse,https://prorodeo.com/images/2023/4/3/Tom_Crouse_TD_2022_Rookie_Roundup.png,3575.57,3575.57,10025.73,11470.58,26837.4,35316.03,43762.47,45356.55,57008.63,91025.5,111952.03,113001.85
101739,Trevor Hale,https://prorodeo.com/images/2023/4/3/Trevor_Hale__TD_2022_CRCF.png,0,0,0,0,6874.38,17128.68,24980.14,30319.85,56038.32,88702.14,119047.72,125712.95
