athleteID,Name,imageURL,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026
59836,Andrew Ward,https://prorodeo.com/images/2024/1/30/Ward_Andrew_NFR_23_.png,9715.3,19430.61,29145.91,38861.21,48576.52,58291.82,68007.12,77722.43,87437.73,97153.03,106868.34,116583.64
95782,Brenten Hall,https://prorodeo.com/images/2023/3/16/Brenton_Hall_TR_2020_NFR_.png,7916.17,15832.33,23748.5,31664.66,39580.82,47496.99,55413.16,63329.32,71245.49,79161.65,87077.81,94993.98
94292,Brye Crites,https://prorodeo.com/images/2021/4/21/Brite.png,9818.73,19637.46,29456.19,39274.92,49093.65,58912.37,68731.1,78549.83,88368.56,98187.29,108006.02,117824.75
21688,Bubba Buckaloo,https://prorodeo.com/images/2020/9/28/TR_Bubba_Buckaloo_2019_71.png,4729.75,9459.51,14189.26,18919.01,23648.77,28378.52,33108.27,37838.03,42567.78,47297.53,52027.29,56757.04
101439,Cash Duty,,6106.46,12212.92,18319.37,24425.83,30532.29,36638.75,42745.2,48851.66,54958.12,61064.58,67171.03,73277.49
70769,Clay Smith,https://prorodeo.com/images/2024/1/30/Smith_Clay_Smith_NFR_23_.png,7200.06,14400.12,21600.18,28800.24,36000.3,43200.36,50400.41,57600.47,64800.53,72000.59,79200.65,86400.71
15801,Clay Tryan,https://prorodeo.com/images/2022/2/1/Clay_Tryan_2021_NFR.png,5881.7,11763.39,17645.09,23526.79,29408.48,35290.18,41171.88,47053.57,52935.27,58816.97,64698.66,70580.36
58868,Clayton Van Aken,https://prorodeo.com/images/2023/1/26/Clayton_Van_Aken_2020.png,4926.3,9852.59,14778.89,19705.18,24631.48,29557.77,34484.06,39410.36,44336.65,49262.95,54189.24,59115.54
60031,Clint Summers,https://prorodeo.com/images/2024/1/30/Summers_Clint_NFR_23_.png,8502.49,17004.98,25507.46,34009.95,42512.44,51014.93,59517.41,68019.9,76522.39,85024.88,93527.36,102029.85
76715,Cody Snow,https://prorodeo.com/images/2023/2/21/Cody_Snow_2022_NFR_TR.png,9234.27,18468.55,27702.82,36937.1,46171.37,55405.65,64639.92,73874.19,83108.47,92342.74,101577.02,110811.29
20112,Coleman Proctor,https://prorodeo.com/images/2024/1/30/Proctor_Coleman_NFR_23_.png,6358.39,12716.79,19075.18,25433.58,31791.97,38150.37,44508.76,50867.15,57225.55,63583.94,69942.34,76300.73
104011,Corben Culley,,4814.67,9629.34,14444,19258.67,24073.34,28888.01,33702.67,38517.34,43332.01,48146.68,52961.34,57776.01
56123,Cory Kidd,https://prorodeo.com/images/2022/3/1/cory_kidd.png,7493.77,14987.54,22481.32,29975.09,37468.86,44962.63,52456.4,59950.17,67443.94,74937.72,82431.49,89925.26
98625,Coy Rahlmann,https://prorodeo.com/images/2022/2/10/13_Coy_Rahlmann_TR1_2021.png,8649.13,17298.26,25947.39,34596.52,43245.65,51894.79,60543.92,69193.05,77842.18,86491.31,95140.44,103789.57
95313,Curry Kirchner,https://prorodeo.com/images/2021/7/25/Curry_Kirchner.png,5614.23,11228.45,16842.68,22456.91,28071.13,33685.36,39299.59,44913.81,50528.04,56142.27,61756.49,67370.72
96051,Cyle Denison,https://prorodeo.com/images/2021/6/13/Cyle_Densison.png,4553.88,9107.75,13661.63,18215.5,22769.38,27323.25,31877.13,36431.01,40984.88,45538.76,50092.63,54646.51
95705,Dawson Graham,https://prorodeo.com/images/2022/9/20/Dawson_Graham_headshot.png,8479.75,16959.49,25439.24,33918.98,42398.73,50878.47,59358.22,67837.96,76317.71,84797.45,93277.2,101756.94
113087,Denton Parish,,4630.74,9261.49,13892.23,18522.97,23153.71,27784.46,32415.2,37045.94,41676.68,46307.43,50938.17,55568.91
19583,Derrick Begay,https://prorodeo.com/images/2024/1/30/Begay_Derrick_NFR_23_.png,7940.43,15880.86,23821.29,31761.72,39702.15,47642.58,55583.01,63523.44,71463.87,79404.3,87344.73,95285.16
93020,Dustin Egusquiza,https://prorodeo.com/images/2023/3/10/Dustin_Egusquiza_2021_Waco_TR.png,8975.02,17950.03,26925.05,35900.06,44875.08,53850.09,62825.11,71800.12,80775.13,89750.15,98725.17,107700.18
20919,Erich Rogers,https://prorodeo.com/images/2024/1/30/Rogers_Erich_NFR_23_.png,6336.38,12672.76,19009.14,25345.52,31681.9,38018.28,44354.65,50691.03,57027.41,63363.79,69700.17,76036.55
19337,Garrett Tonozzi,https://prorodeo.com/images/2021/8/17/garrett_Tonnzi_71.png,4636.06,9272.11,13908.17,18544.22,23180.28,27816.33,32452.39,37088.44,41724.5,46360.55,50996.61,55632.66
99768,J.C. Yeahquo,https://prorodeo.com/images/2022/5/13/_J_C_Yeahquo_2021.png,4843.26,9686.53,14529.79,19373.05,24216.32,29059.58,33902.84,38746.11,43589.37,48432.63,53275.9,58119.16
95098,Jake Clay,https://prorodeo.com/images/2023/10/31/Clay_Jake_AL6I6086.png,5546.31,11092.63,16638.94,22185.26,27731.57,33277.89,38824.2,44370.51,49916.83,55463.14,61009.46,66555.77
70770,Jake Smith,https://prorodeo.com/images/2022/5/13/Jake_Smith_2021.png,10972.54,21945.08,32917.62,43890.16,54862.7,65835.24,76807.78,87780.32,98752.86,109725.4,120697.94,131670.48
105779,James Arviso,,10442.3,20884.59,31326.89,41769.18,52211.48,62653.77,73096.07,83538.36,93980.66,104422.95,114865.25,125307.54
110239,Jaxon Hill,,5419.36,10838.72,16258.08,21677.43,27096.79,32516.15,37935.51,43354.87,48774.23,54193.58,59612.94,65032.3
99519,Jaxson Tucker,https://prorodeo.com/images/2022/9/7/Jaxson_Tucker_headshot.png,3900.58,7801.15,11701.73,15602.3,19502.88,23403.45,27304.03,31204.6,35105.18,39005.75,42906.33,46806.9
105809,Jayse Tettenhorst,,5246.18,10492.36,15738.54,20984.71,26230.89,31477.07,36723.25,41969.43,47215.61,52461.78,57707.96,62954.14
94683,Jhett Trenary,,5728.51,11457.02,17185.53,22914.04,28642.55,34371.06,40099.56,45828.07,51556.58,57285.09,63013.6,68742.11
92693,Jr. Dees,https://prorodeo.com/images/2020/9/25/11_TR_header_Jr_Dees_2017.png,7092.16,14184.32,21276.49,28368.65,35460.81,42552.97,49645.13,56737.29,63829.46,70921.62,78013.78,85105.94
53166,Kaleb Driggers,https://prorodeo.com/images/2022/2/10/Untitled_1.png,15394.66,30789.31,46183.97,61578.62,76973.27,92367.93,107762.59,123157.24,138551.89,153946.55,169341.21,184735.86
100742,Kash Bonnett,,5360.9,10721.8,16082.7,21443.6,26804.5,32165.4,37526.3,42887.2,48248.1,53609,58969.9,64330.8
109463,Kavis Drake,,7771.55,15543.1,23314.65,31086.2,38857.75,46629.3,54400.84,62172.39,69943.94,77715.49,85487.04,93258.59
94427,Kellan Johnson,https://prorodeo.com/images/2021/8/5/Kellen_Johnson.png,4018.67,8037.35,12056.02,16074.69,20093.36,24112.04,28130.71,32149.38,36168.05,40186.73,44205.4,48224.07
110406,Ketch Kelton,,8545.97,17091.95,25637.92,34183.89,42729.86,51275.84,59821.81,68367.78,76913.75,85459.73,94005.7,102551.67
103962,Kolby Krieger,,4575.23,9150.47,13725.7,18300.94,22876.17,27451.4,32026.64,36601.87,41177.11,45752.34,50327.58,54902.81
71706,Kolton Schmidt,https://prorodeo.com/images/2020/9/25/13_TR_header_Kolton_Schmidt_2019.png,6812.86,13625.72,20438.59,27251.45,34064.31,40877.17,47690.03,54502.89,61315.75,68128.62,74941.48,81754.34
103448,Korbin Rice,https://prorodeo.com/images/2026/4/7/Korbin_Rice.png,14680.19,29360.37,44040.56,58720.74,73400.93,88081.12,102761.3,117441.49,132121.67,146801.86,161482.04,176162.23
