athleteID,Name,imageURL,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
102302,Arye Espenscheid,,3602.38,7204.76,10807.14,14409.52,18011.9,21614.28,25216.65,28819.03,32421.41,36023.79,39626.17,43228.55
19391,Brady Minor,https://prorodeo.com/images/2022/4/3/Brady_Minor_2021.png,7606.98,15213.95,22820.93,30427.9,38034.88,45641.85,53248.83,60855.8,68462.77,76069.75,83676.73,91283.7
113631,Braylon Tryan,,5554.65,11109.31,16663.96,22218.62,27773.27,33327.93,38882.58,44437.23,49991.89,55546.54,61101.2,66655.85
58542,Buddy Hawkins,https://prorodeo.com/images/2024/1/30/Hawkins_Buddy_NFR_23_.png,4551.17,9102.34,13653.51,18204.68,22755.85,27307.03,31858.2,36409.37,40960.54,45511.71,50062.88,54614.05
98409,Carson Johnson,https://prorodeo.com/images/2021/8/5/Carson_Johnson.png,7261.38,14522.77,21784.15,29045.53,36306.92,43568.3,50829.68,58091.07,65352.45,72613.83,79875.22,87136.6
75453,Chris Young,,3321.96,6643.92,9965.88,13287.84,16609.8,19931.76,23253.71,26575.67,29897.63,33219.59,36541.55,39863.51
103709,Clay Clayman,https://prorodeo.com/images/2023/2/3/Clay_Clayman_2021.png,3438.69,6877.37,10316.06,13754.74,17193.43,20632.12,24070.8,27509.49,30948.17,34386.86,37825.54,41264.23
99755,Cole Curry,https://prorodeo.com/images/2024/1/30/Curry_Cole_NFR_23_.png,4203.09,8406.19,12609.28,16812.38,21015.47,25218.57,29421.66,33624.75,37827.85,42030.94,46234.04,50437.13
95008,Coleby Payne,https://prorodeo.com/images/2025/2/24/CXoleby_Payne.png,9225.81,18451.63,27677.44,36903.26,46129.07,55354.88,64580.7,73806.51,83032.33,92258.14,101483.96,110709.77
18867,Colter Todd,https://prorodeo.com/images/2024/1/30/Todd_Colter_NFR_23_.png,6743.92,13487.85,20231.77,26975.69,33719.61,40463.54,47207.46,53951.38,60695.3,67439.23,74183.15,80927.07
103928,Cooper Freeman,https://prorodeo.com/images/2023/2/3/Cooper_Freeman_2021.png,14680.19,29360.37,44040.56,58720.74,73400.93,88081.12,102761.3,117441.49,132121.67,146801.86,161482.04,176162.23
15898,Cory Petska,https://prorodeo.com/images/2020/9/28/TR_Cory_Petska_2018.png,6448.04,12896.09,19344.13,25792.18,32240.22,38688.27,45136.31,51584.35,58032.4,64480.44,70928.49,77376.53
106611,Denim Ross,,7771.55,15543.1,23314.65,31086.2,38857.75,46629.3,54400.84,62172.39,69943.94,77715.49,85487.04,93258.59
108699,Denton Dunning,https://prorodeo.com/images/2026/9/8/Dunning_Denton_MBD_0025.png,9283.91,18567.83,27851.74,37135.66,46419.58,55703.49,64987.41,74271.32,83555.23,92839.15,102123.06,111406.98
98207,Dillon Graham,https://prorodeo.com/images/2022/9/20/Dillon_Graham_headshot.png,9087.66,18175.32,27262.99,36350.65,45438.31,54525.97,63613.63,72701.29,81788.96,90876.62,99964.28,109051.94
94968,Douglas Rich,https://prorodeo.com/images/2022/2/3/Douglas_Rich_2021_NFR.png,9898.88,19797.76,29696.64,39595.53,49494.41,59393.29,69292.17,79191.05,89089.94,98988.82,108887.7,118786.58
95434,Hunter Koch,https://prorodeo.com/images/2020/9/25/13_TR_heeler_Hunter_Koch_2019.png,5698.1,11396.21,17094.31,22792.41,28490.52,34188.62,39886.72,45584.83,51282.93,56981.03,62679.14,68377.24
103457,Jace Helton,,4952.85,9905.69,14858.54,19811.38,24764.23,29717.08,34669.92,39622.77,44575.61,49528.46,54481.3,59434.15
20599,Jade Corkill,https://prorodeo.com/images/2022/4/3/Jade_Corkill.png,8502.49,17004.98,25507.46,34009.95,42512.44,51014.93,59517.41,68019.9,76522.39,85024.88,93527.36,102029.85
95469,Jake Edwards,https://prorodeo.com/images/2022/2/3/Jake_Edwards_TR2_2022.png,7291.95,14583.89,21875.84,29167.78,36459.73,43751.67,51043.62,58335.56,65627.51,72919.45,80211.4,87503.34
18847,Jake Long,https://prorodeo.com/images/2022/2/10/Jake_Long_2021NFR.png,9715.3,19430.61,29145.91,38861.21,48576.52,58291.82,68007.12,77722.43,87437.73,97153.03,106868.34,116583.64
110535,Jaydon Warner,,4985.95,9971.91,14957.86,19943.81,24929.77,29915.72,34901.67,39887.63,44873.58,49859.53,54845.49,59831.44
95656,JC Flake,https://prorodeo.com/images/2026/5/11/JC_Flake.png,8975.02,17950.03,26925.05,35900.06,44875.08,53850.09,62825.11,71800.12,80775.13,89750.15,98725.17,107700.18
59818,Jeremy Buhler,https://prorodeo.com/images/2023/2/21/Jeremy_Buhler_2022_NFR_TR2.png,4339.75,8679.5,13019.25,17359.01,21698.76,26038.51,30378.26,34718.01,39057.76,43397.52,47737.27,52077.02
98696,Jessen James,,4992.9,9985.8,14978.7,19971.6,24964.5,29957.4,34950.3,39943.2,44936.1,49929,54921.9,59914.8
59444,Jonathan Torres,https://prorodeo.com/images/2022/2/3/Jonathan_Torres_2022_TR2.png,8212.31,16424.62,24636.94,32849.25,41061.56,49273.87,57486.18,65698.49,73910.8,82123.12,90335.43,98547.74
21803,Joseph Harrison,https://prorodeo.com/images/2023/2/22/Joseph_Harrison_2022_NFR_TR.png,3978.16,7956.31,11934.47,15912.62,19890.78,23868.94,27847.09,31825.25,35803.4,39781.56,43759.71,47737.87
72983,Junior Nunes Nogueira,https://prorodeo.com/images/2022/2/3/Junior_Nogueira_2021NFR_TR2.png,15394.65,30789.3,46183.96,61578.61,76973.26,92367.92,107762.57,123157.22,138551.87,153946.53,169341.18,184735.83
103464,Kaden Profili,https://prorodeo.com/images/2023/1/26/Michael_Kaden_Profili_TR_2022_waco.png,10432.23,20864.45,31296.68,41728.9,52161.13,62593.35,73025.58,83457.8,93890.03,104322.25,114754.48,125186.7
99767,L.J. Yeahquo,https://prorodeo.com/images/2022/5/13/LJ_Yeahquo_2021.png,4756.86,9513.71,14270.57,19027.42,23784.28,28541.14,33297.99,38054.85,42811.7,47568.56,52325.41,57082.27
104101,Landen Glenn,https://prorodeo.com/images/2026/6/5/Landon_Glenn_71.png,7092.16,14184.32,21276.49,28368.65,35460.81,42552.97,49645.13,56737.29,63829.46,70921.62,78013.78,85105.94
91220,Lane Mitchell,https://prorodeo.com/images/2021/4/21/Lane_Mitchell.png,9009.02,18018.04,27027.06,36036.08,45045.1,54054.12,63063.14,72072.16,81081.18,90090.2,99099.22,108108.24
73087,Levi Lord,https://prorodeo.com/images/2022/2/10/levi_lord_TR_2021.png,10541.03,21082.06,31623.09,42164.12,52705.15,63246.18,73787.21,84328.24,94869.27,105410.3,115951.33,126492.36
104042,Logan Cullen,,5360.89,10721.79,16082.68,21443.58,26804.47,32165.37,37526.26,42887.15,48248.05,53608.94,58969.84,64330.73
71834,Logan Medlin,https://prorodeo.com/images/2023/2/21/Logan_Medlin_2022_NFR_TR.png,8729.62,17459.24,26188.86,34918.47,43648.09,52377.71,61107.33,69836.95,78566.57,87296.18,96025.8,104755.42
101290,Logan Moore,https://prorodeo.com/images/2023/3/16/New_Logan_Moore.png,5952.56,11905.11,17857.67,23810.23,29762.78,35715.34,41667.9,47620.45,53573.01,59525.57,65478.12,71430.68
110288,Nicky Northcott,https://prorodeo.com/images/2026/6/5/Nicky_Northcott.png,12351.85,24703.7,37055.55,49407.4,61759.25,74111.1,86462.95,98814.8,111166.65,123518.5,135870.35,148222.2
96229,Paden Bray,https://prorodeo.com/images/2021/4/21/bray.png,7723.25,15446.49,23169.74,30892.99,38616.23,46339.48,54062.73,61785.97,69509.22,77232.47,84955.71,92678.96
105985,Parker Carbajal,,3447.33,6894.66,10341.99,13789.32,17236.65,20683.97,24131.3,27578.63,31025.96,34473.29,37920.62,41367.95
94857,Ross Ashford,https://prorodeo.com/images/2020/9/25/21_TR_heeler_Ross_Ashford_2019.png,10227.2,20454.4,30681.59,40908.79,51135.99,61363.19,71590.38,81817.58,92044.78,102271.98,112499.17,122726.37
20701,Sid Sporer,https://prorodeo.com/images/2021/6/13/Sid_sporer.png,5774.28,11548.56,17322.84,23097.12,28871.4,34645.69,40419.97,46194.25,51968.53,57742.81,63517.09,69291.37
58514,Tanner Braden,https://prorodeo.com/images/2022/2/3/Tanner_Braden_2021_TR2.png,5956.76,11913.53,17870.29,23827.06,29783.82,35740.59,41697.35,47654.11,53610.88,59567.64,65524.41,71481.17
18721,Travis Graves,https://prorodeo.com/images/2023/2/21/Travis_Graves_2022_NFR_SW.png,6554.92,13109.83,19664.75,26219.66,32774.57,39329.49,45884.41,52439.32,58994.24,65549.15,72104.06,78658.98
100822,Trent Vaught,,8249.62,16499.23,24748.85,32998.46,41248.08,49497.69,57747.31,65996.93,74246.54,82496.16,90745.77,98995.39
109949,Trey White,,4256.16,8512.31,12768.47,17024.62,21280.78,25536.93,29793.08,34049.24,38305.39,42561.55,46817.7,51073.86
72713,Trey Yates,https://prorodeo.com/images/2023/3/27/TREY_YATES_2022_NFR_TR2_05.png,9181.55,18363.1,27544.65,36726.2,45907.75,55089.31,64270.86,73452.41,82633.96,91815.51,100997.06,110178.61
73008,Wesley Thorp,https://prorodeo.com/images/2024/1/22/23_NFR_Thorp_Wesley_2.PNG,7924.1,15848.21,23772.31,31696.42,39620.52,47544.63,55468.73,63392.83,71316.94,79241.04,87165.15,95089.25
106561,Whip Peterson,,4319.12,8638.23,12957.35,17276.46,21595.57,25914.69,30233.8,34552.92,38872.03,43191.15,47510.26,51829.38
70767,Will Woodfin,,6291.05,12582.1,18873.14,25164.19,31455.24,37746.29,44037.33,50328.38,56619.43,62910.48,69201.52,75492.57
75473,Wyatt Cox,https://prorodeo.com/images/2022/3/22/Wyatt_Cox.png,8634.87,17269.74,25904.61,34539.47,43174.34,51809.21,60444.08,69078.95,77713.82,86348.68,94983.55,103618.42
