athleteID,Name,imageURL,2026-09-08,2026-09-09
96234,Austin Hurlburt,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/4/3/Austin_Hurlburt_TD_2022_Minot.png,48098.32,48098.32
101754,Austin Madison,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/7/25/Austin_Madison_headshot_71.png,38693.23,38693.23
99003,Bo Yaussi,,26534.38,26534.38
101145,Bodie Mattson,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/7/20/2021_Minot_TR_Bodie_Mattson_AStangle_5081_71.png,67854.36,67854.36
102484,Braden Brost,,36559.41,36559.41
96688,Brushton Minton,https://d1kfpvgfupbmyo.cloudfront.net/images/2024/1/30/Minton_Brushton_NFR_23_.png,149228.17,149228.17
93497,Caleb McMillan,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/2/28/Caleb_McMillan_2020.png,22871.71,22871.71
53191,Casey Harmon,,19758.99,19758.99
111586,Chance Grill,,29177.04,29177.04
100924,Chet Weitz,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/4/3/Chet_Weitz_TD_2022_Waco.png,56928.67,56928.67
103709,Clay Clayman,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/2/3/Clay_Clayman_2021.png,52416.73,52416.73
104099,Clay Ellis,,34670.66,34670.66
109967,Clayton Culligan,,28393.86,28393.86
20460,Clovis Crane,https://d1kfpvgfupbmyo.cloudfront.net/images/2021/2/25/Clovis_Crane_2019_Cutout_71.png,21298.95,21298.95
98738,Cody Stewart,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/7/25/Cody_Steward_headshot.png,23921.14,23921.14
104267,Cole Eiguren,https://d1kfpvgfupbmyo.cloudfront.net/images/2024/4/17/24__EIGUREN_COLE_ADILWORTH.png,78245.37,78245.37
71968,Cole Robinson,,22274.76,22274.76
20112,Coleman Proctor,https://d1kfpvgfupbmyo.cloudfront.net/images/2024/1/30/Proctor_Coleman_NFR_23_.png,89584.41,89584.41
98408,Dalton Walker,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/2/10/Dalton_Walker_2021.png,37801.53,37801.53
20919,Erich Rogers,https://d1kfpvgfupbmyo.cloudfront.net/images/2024/1/30/Rogers_Erich_NFR_23_.png,80864.31,80864.31
106514,Everett Reeves,,17226.83,17226.83
96407,Haven Meged,https://d1kfpvgfupbmyo.cloudfront.net/images/2024/2/8/Meged_Haven_NFR_23_.png,216140.71,216140.71
20518,J.R. Myers,https://d1kfpvgfupbmyo.cloudfront.net/images/2021/8/12/J_R_Myer.png,20361.2,20361.2
70677,Jace Melvin,https://d1kfpvgfupbmyo.cloudfront.net/images/2020/9/25/06_Jace_Melvin_SW_2019.png,57741.37,57741.37
71554,Jade Gardner,,25688.32,25688.32
95098,Jake Clay,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/10/31/Clay_Jake_AL6I6086.png,92248.62,92248.62
53895,Juan Alcazar,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/2/10/Juan_Alcazar_2021.png,21731.76,21731.76
104102,Judd Grover,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/2/3/Judd_Grover_2021.png,34520.62,34520.62
20837,Justin Thigpen,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/3/27/Justin_Thigpen_2022_SECF.png,23175.65,23175.65
96379,Laramie Allen,https://d1kfpvgfupbmyo.cloudfront.net/images/2021/4/26/L_Allen_71.png,25850.12,25850.12
101479,Logan Spady,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/9/20/Logan_Spady_headshot.png,25859.71,25859.71
92000,Marcus Theriot,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/3/27/Marcus_Theriot_2021_RNCFR.png,49582.48,49582.48
96229,Paden Bray,https://d1kfpvgfupbmyo.cloudfront.net/images/2021/4/21/bray.png,105498.33,105498.33
54663,Paul David Tierney,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/4/3/Paul_Tierney_TD_2020_71.png,22552.81,22552.81
76752,Riley Wakefield,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/2/7/Riley_Wakefield_2021.png,56884.75,56884.75
72224,Robbie Erck,,17381.15,17381.15
20641,Russell Cardoza,https://d1kfpvgfupbmyo.cloudfront.net/images/2018/5/26/2017_Russell_Cardoza.jpg,31699.75,31699.75
53843,Seth Hall,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/1/7/seth_hall.png,54114.22,54114.22
100966,Slade Wood,https://d1kfpvgfupbmyo.cloudfront.net/images/2023/1/25/Slade_Wood__10_11_22_Waco_TX_TCF_Phifer_AP_341.png,59324.66,59324.66
59613,Steele De Paoli,,29835.47,29835.47
96898,Stetson Wright,https://d1kfpvgfupbmyo.cloudfront.net/images/2026/4/9/Stetson_Wright.png,357678.82,357678.82
20913,Steve Kuntz,,19635.87,19635.87
94265,Tanner Green,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/2/10/Tanner_Green.png,46502.39,46502.39
109090,Tanner Scheevel,,32325.97,32325.97
108143,Thayne Elshere,,43015.08,43015.08
94319,Trevin Baumann,https://d1kfpvgfupbmyo.cloudfront.net/images/2022/7/25/Trevin_Baumann_headshot.png,18310.66,18310.66
96133,Trey Gallais,,27340.87,27340.87
98574,Tuftin McLeod,,29724.24,29724.24
72793,Tyler Forsberg,,24933.93,24933.93
107958,Wacey Schalla,https://d1kfpvgfupbmyo.cloudfront.net/images/2026/2/27/Wacey_PRCA_Headshot.png,119932.6,119932.6
